analyse_id,analyse_code,analyse_libelle,sous_analyse_id,sous_code,sous_libelle,unit,data_type,domaine_analyse
10,FER,Bilan du fer,1002,FERR,Ferritine,ng/mL,NM,BIOCHIMIE
10,FER,Bilan du fer,1003,TRANS,Transferrine,g/L,NM,BIOCHIMIE
10,FER,Bilan du fer,1004,CSAT,Coefficient saturation transferrine,%,NM,BIOCHIMIE
11,DIAB,Bilan diabétique,1101,HBA1C,Hémoglobine glyquée,%,NM,BIOCHIMIE
11,DIAB,Bilan diabétique,1102,GLUFAST,Glycémie à jeun,mmol/L,NM,BIOCHIMIE
11,DIAB,Bilan diabétique,1103,GLU2H,Glycémie 2h après charge,mmol/L,NM,BIOCHIMIE
12,MIN,Bilan minéral,1201,MG,Magnésium,mmol/L,NM,BIOCHIMIE
12,MIN,Bilan minéral,1202,PHOS,Phosphore,mmol/L,NM,BIOCHIMIE
12,MIN,Bilan minéral,1203,ZINC,Zinc,µmol/L,NM,BIOCHIMIE
13,INF,Marqueurs infectieux,1301,PCT,Procalcitonine,ng/mL,NM,IMMUNOLOGIE
13,INF,Marqueurs infectieux,1302,VS,Vitesse de sédimentation,mm/h,NM,IMMUNOLOGIE
13,INF,Marqueurs infectieux,1303,IL6,Interleukine 6,pg/mL,NM,IMMUNOLOGIE
14,CARD,Bilan cardiaque,1401,TROP,Troponine,ng/L,NM,CARDIOLOGIE
14,CARD,Bilan cardiaque,1402,CK,Créatine kinase,U/L,NM,CARDIOLOGIE
14,CARD,Bilan cardiaque,1403,CKMB,CK-MB,U/L,NM,CARDIOLOGIE
14,CARD,Bilan cardiaque,1404,BNP,Brain natriuretic peptide,pg/mL,NM,CARDIOLOGIE
15,VIT,Bilan vitaminique,1501,VITD,Vitamine D,ng/mL,NM,BIOCHIMIE
15,VIT,Bilan vitaminique,1502,VITB12,Vitamine B12,pg/mL,NM,BIOCHIMIE
15,VIT,Bilan vitaminique,1503,FOL,Acide folique,ng/mL,NM,BIOCHIMIE
16,HORM,Bilan hormonal,1601,PRL,Prolactine,ng/mL,NM,HORMONOLOGIE
16,HORM,Bilan hormonal,1602,LH,Hormone lutéinisante,UI/L,NM,HORMONOLOGIE
16,HORM,Bilan hormonal,1603,FSH,Hormone folliculo-stimulante,UI/L,NM,HORMONOLOGIE
16,HORM,Bilan hormonal,1604,TESTO,Testostérone,ng/mL,NM,HORMONOLOGIE
17,URINE,Analyse d'urine,1701,PHU,pH urinaire,,NM,URINE
17,URINE,Analyse d'urine,1702,PROT,Protéinurie,mg/L,NM,URINE
17,URINE,Analyse d'urine,1703,GLUUR,Glycosurie,mmol/L,NM,URINE
17,URINE,Analyse d'urine,1704,KET,Cétonurie,mmol/L,NM,URINE
18,GAZ,Gaz du sang,1801,PH,pH sanguin,,NM,GAZ_SANG
18,GAZ,Gaz du sang,1802,PCO2,Pression partielle CO2,mmHg,NM,GAZ_SANG
18,GAZ,Gaz du sang,1803,PO2,Pression partielle O2,mmHg,NM,GAZ_SANG
18,GAZ,Gaz du sang,1804,HCO3,Bicarbonate,mmol/L,NM,GAZ_SANG
18,GAZ,Gaz du sang,1805,SO2,Saturation en oxygène,%,NM,GAZ_SANG
19,HEP,Hépatique,1901,ALT,ALAT,U/L,NM,HEPATIQUE
19,HEP,Hépatique,1902,AST,ASAT,U/L,NM,HEPATIQUE
19,HEP,Hépatique,1903,ALP,Phosphatase alcaline,U/L,NM,HEPATIQUE
19,HEP,Hépatique,1904,GGT,Gamma-GT,U/L,NM,HEPATIQUE
19,HEP,Hépatique,1905,TBIL,Bilirubine totale,mg/dL ou µmol/L,NM,HEPATIQUE
19,HEP,Hépatique,1906,DBIL,Bilirubine directe,mg/dL ou µmol/L,NM,HEPATIQUE
19,HEP,Hépatique,1907,IBIL,Bilirubine indirecte,mg/dL ou µmol/L,NM,HEPATIQUE
19,HEP,Hépatique,1908,TP,Protéines totales,g/L,NM,HEPATIQUE
19,HEP,Hépatique,1909,ALB,Albumine,g/L,NM,HEPATIQUE
19,HEP,Hépatique,1910,AG,Rapport Albumine/Globuline,Ratio,NM,HEPATIQUE
19,HEP,Hépatique,1911,GLOB,Globulines,g/L,NM,HEPATIQUE
19,HEP,Hépatique,1912,CHE,Cholinestérase,U/L,NM,HEPATIQUE
19,HEP,Hépatique,1913,NH3,Ammoniac,µmol/L,NM,HEPATIQUE
19,HEP,Hépatique,1914,BALE,Acides biliaires,µmol/L,NM,HEPATIQUE
19,HEP,Hépatique,1915,5NUC,5'-Nucléotidase,U/L,NM,HEPATIQUE
20,REN,Rénal,2001,UREA,Urée,mmol/L ou mg/dL,NM,RENAL
20,REN,Rénal,2002,BUN,Azote uréique,mg/dL,NM,RENAL
20,REN,Rénal,2003,CREA,Créatinine,µmol/L ou mg/dL,NM,RENAL
20,REN,Rénal,2004,UA,Acide urique,µmol/L ou mg/dL,NM,RENAL
20,REN,Rénal,2005,CYST,Cystatine C,mg/L,NM,RENAL
20,REN,Rénal,2006,CREACL,Clairance de la créatinine,mL/min/1.73m²,NM,RENAL
21,MET,Métabolique,2101,GLU,Glucose,mmol/L ou mg/dL,NM,METABOLIQUE
21,MET,Métabolique,2102,HBA1C,Hémoglobine glyquée,% ou mmol/mol,NM,METABOLIQUE
21,MET,Métabolique,2103,FRUCT,Fructosamine,µmol/L,NM,METABOLIQUE
21,MET,Métabolique,2104,LACT,Lactate,mmol/L,NM,METABOLIQUE
21,MET,Métabolique,2105,PYR,Pyruvate,mmol/L,NM,METABOLIQUE
21,MET,Métabolique,2106,CETON,Corps cétoniques,mg/dL ou mmol/L,NM,METABOLIQUE
21,MET,Métabolique,2107,BHB,Bêta-Hydroxybutyrate,mmol/L,NM,METABOLIQUE
21,MET,Métabolique,2108,ACAC,Acetoacetate,mg/dL ou mmol/L,NM,METABOLIQUE
22,LIP,Lipidique,2201,TCHO,Cholestérol total,mmol/L ou mg/dL,NM,LIPIDIQUE
22,LIP,Lipidique,2202,TG,Triglycérides,mmol/L ou mg/dL,NM,LIPIDIQUE
22,LIP,Lipidique,2203,HDL,HDL-Cholestérol,mmol/L ou mg/dL,NM,LIPIDIQUE
22,LIP,Lipidique,2204,LDL,LDL-Cholestérol,mmol/L ou mg/dL,NM,LIPIDIQUE
22,LIP,Lipidique,2205,VLDL,VLDL-Cholestérol,mmol/L ou mg/dL,NM,LIPIDIQUE
22,LIP,Lipidique,2206,APOA1,Apolipoprotéine A1,g/L,NM,LIPIDIQUE
22,LIP,Lipidique,2207,APOB,Apolipoprotéine B,g/L,NM,LIPIDIQUE
22,LIP,Lipidique,2208,LPA,Lipoprotéine (a),mg/dL ou nmol/L,NM,LIPIDIQUE
22,LIP,Lipidique,2209,NONHDL,Cholestérol non-HDL,mmol/L ou mg/dL,NM,LIPIDIQUE
23,CARD,Cardiaque,2301,CK,Créatine kinase,U/L,NM,CARDIAQUE
23,CARD,Cardiaque,2302,CKMB,CK-MB,U/L ou %,NM,CARDIAQUE
23,CARD,Cardiaque,2303,LDH,Lactate déshydrogénase,U/L,NM,CARDIAQUE
23,CARD,Cardiaque,2304,HBDH,Hydroxybutyrate déshydrogénase,U/L,NM,CARDIAQUE
23,CARD,Cardiaque,2305,MYO,Myoglobine,ng/mL,NM,CARDIAQUE
23,CARD,Cardiaque,2306,TROP,Troponine I,Troponine T,ng/mL,NM,CARDIAQUE
24,ELE,Électrolytes,2401,NA,Sodium,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2402,K,Potassium,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2403,CL,Chlorures,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2404,CA,Calcium,mmol/L ou mg/dL,NM,ELECTROLYTES
24,ELE,Électrolytes,2405,ICA,Calcium ionisé,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2406,MG,Magnésium,mmol/L ou mg/dL,NM,ELECTROLYTES
24,ELE,Électrolytes,2407,P,Phosphore,mmol/L ou mg/dL,NM,ELECTROLYTES
24,ELE,Électrolytes,2408,BIC,Bicarbonates,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2409,CO2,CO2 total,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2410,AG,Anion Gap,mmol/L,NM,ELECTROLYTES
24,ELE,Électrolytes,2411,OSM,Osmolality,mOsm/kg,NM,ELECTROLYTES
25,CAR,Carence,2501,FE,Fer,µmol/L,NM,CARENCE
25,CAR,Carence,2502,TIBC,Capacité totale de fixation du fer,µmol/L,NM,CARENCE
25,CAR,Carence,2503,UIBC,Capacité de fixation du fer non saturée,µmol/L,NM,CARENCE
25,CAR,Carence,2504,TRANS,Transferrine,g/L,NM,CARENCE
25,CAR,Carence,2505,TSAT,Saturation de la transferrine,%,NM,CARENCE
25,CAR,Carence,2506,FERR,Ferritine,ng/mL,NM,CARENCE
26,PAN,Pancréatique,2601,AMY,Amylase,U/L,NM,PANCREATIQUE
26,PAN,Pancréatique,2602,LIP,Lipase,U/L,NM,PANCREATIQUE
26,PAN,Pancréatique,2603,PAMY,Amylase pancréatique,U/L,NM,PANCREATIQUE
26,PAN,Pancréatique,2604,TRY,Trypsine,ng/mL,NM,PANCREATIQUE
27,INF,Inflammatoire,2701,CRP,Protéine C réactive,mg/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2702,HSCRP,CRP ultrasensible,mg/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2703,ADA,Adénosine désaminase,U/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2704,ACE,Enzyme de conversion de l'angiotensine,U/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2705,A1AT,Alpha-1-antitrypsine,g/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2706,CER,Céruloplasmine,g/L,NM,INFLAMMATOIRE
27,INF,Inflammatoire,2707,HAP,Haptoglobine,g/L,NM,INFLAMMATOIRE
28,OLI,Oligo-élément,2801,CU,Cuivre,µmol/L,NM,OLIGO-ELEMENT
28,OLI,Oligo-élément,2802,ZN,Zinc,µmol/L,NM,OLIGO-ELEMENT
28,OLI,Oligo-élément,2803,SE,Sélénium,µg/L,NM,OLIGO-ELEMENT
29,TOX,Toxique,2901,PB,Plomb,µmol/L,NM,TOXIQUE
29,TOX,Toxique,2902,AS,Arsenic,µmol/L,NM,TOXIQUE
29,TOX,Toxique,2903,HG,Mercure,µg/L,NM,TOXIQUE
30,HEM,Hématologie,3001,WBC,Globules blancs,10³/µL ou G/L,NM,HEMATOLOGIE
30,HEM,Hématologie,3002,RBC,Globules rouges,10⁶/µL ou T/L,NM,HEMATOLOGIE
30,HEM,Hématologie,3003,HGB,Hémoglobine,g/dL,NM,HEMATOLOGIE
30,HEM,Hématologie,3004,HCT,Hématocrite,%,NM,HEMATOLOGIE
30,HEM,Hématologie,3005,MCV,Volume globulaire moyen,fL,NM,HEMATOLOGIE
30,HEM,Hématologie,3006,MCH,Teneur corpusculaire moyenne en hémoglobine,pg,NM,HEMATOLOGIE
30,HEM,Hématologie,3007,MCHC,Concentration corpusculaire moyenne en hémoglobine,g/dL,NM,HEMATOLOGIE
30,HEM,Hématologie,3008,RDWCV,RDW-CV,%,NM,HEMATOLOGIE
30,HEM,Hématologie,3009,RDWSD,RDW-SD,fL,NM,HEMATOLOGIE
30,HEM,Hématologie,3010,RETIC,Réticulocytes,% ou 10³/µL,NM,HEMATOLOGIE
30,HEM,Hématologie,3011,RET-HE,Hémoglobine réticulocytaire,pg,NM,HEMATOLOGIE
30,HEM,Hématologie,3012,IRF,Fraction immature des réticulocytes,%,NM,HEMATOLOGIE
30,HEM,Hématologie,3013,PLT,Plaquettes,10³/µL ou G/L,NM,HEMATOLOGIE
30,HEM,Hématologie,3014,MPV,Volume plaquettaire moyen,fL,NM,HEMATOLOGIE
30,HEM,Hématologie,3015,PDW,Distribution des plaquettes,fL,NM,HEMATOLOGIE
30,HEM,Hématologie,3016,PCT,Thrombocrite,%,NM,HEMATOLOGIE
30,HEM,Hématologie,3017,IPF,Fraction immature des plaquettes,%,NM,HEMATOLOGIE
30,HEM,Hématologie,3018,NEUT,Neutrophiles,10³/µL ou %,NM,HEMATOLOGIE
30,HEM,Hématologie,3019,LYMPH,Lymphocytes,10³/µL ou %,NM,HEMATOLOGIE
30,HEM,Hématologie,3020,MONO,Monocytes,10³/µL ou %,NM,HEMATOLOGIE
30,HEM,Hématologie,3021,EO,Éosinophiles,10³/µL ou %,NM,HEMATOLOGIE
30,HEM,Hématologie,3022,BASO,Basophiles,10³/µL ou %,NM,HEMATOLOGIE
30,HEM,Hématologie,3023,IG,Granulocytes immatures,10³/µL ou %,NM,HEMATOLOGIE
31,HEMO,Hémostase,3101,ESR,Vitesse de sédimentation,mm/h,NM,HEMOSTASE
31,HEMO,Hémostase,3102,PT,Temps de prothrombine,secondes,NM,HEMOSTASE
31,HEMO,Hémostase,3103,INR,INR,ratio,NM,HEMOSTASE
31,HEMO,Hémostase,3104,PTP,Taux de prothrombine,%,NM,HEMOSTASE
31,HEMO,Hémostase,3105,APTT,Temps de céphaline activée,secondes,NM,HEMOSTASE
31,HEMO,Hémostase,3106,FIB,Fibrinogène,g/L,NM,HEMOSTASE
31,HEMO,Hémostase,3107,TT,Temps de thrombine,secondes,NM,HEMOSTASE
31,HEMO,Hémostase,3108,DD,D-Dimeres,µg/L ou ng/mL,NM,HEMOSTASE
31,HEMO,Hémostase,3109,FDP,Produits de dégradation de la fibrine,µg/mL,NM,HEMOSTASE
31,HEMO,Hémostase,3110,ATIII,Antithrombine III,%,NM,HEMOSTASE
31,HEMO,Hémostase,3111,PROC,Protein C,%,NM,HEMOSTASE
31,HEMO,Hémostase,3112,PROS,Protein S,%,NM,HEMOSTASE
31,HEMO,Hémostase,3113,PLAS,Plasminogen,%,NM,HEMOSTASE
31,HEMO,Hémostase,3114,VWFA,vWF Ag,%,NM,HEMOSTASE
31,HEMO,Hémostase,3115,VWFACT,vWF Act,%,NM,HEMOSTASE
31,HEMO,Hémostase,3116,BT,Bleeding time,minutes,NM,HEMOSTASE
32,THY,Thyroïdien,3201,TSH,TSH,mUI/L,NM,THYROIDIEN
32,THY,Thyroïdien,3202,FT3,T3 libre,pmol/L,NM,THYROIDIEN
32,THY,Thyroïdien,3203,FT4,T4 libre,pmol/L,NM,THYROIDIEN
32,THY,Thyroïdien,3204,T3,T3 totale,nmol/L,NM,THYROIDIEN
32,THY,Thyroïdien,3205,T4,T4 totale,nmol/L,NM,THYROIDIEN
32,THY,Thyroïdien,3206,ANTI-TPO,Anti-TPO,UI/mL,NM,THYROIDIEN
32,THY,Thyroïdien,3207,ANTI-TG,Anti-TG,UI/mL,NM,THYROIDIEN
32,THY,Thyroïdien,3208,TBG,TBG,mg/L,NM,THYROIDIEN
32,THY,Thyroïdien,3209,THYROG,Thyroglobulin,ng/mL,NM,THYROIDIEN
32,THY,Thyroïdien,3210,TSI,TSI,UI/mL,NM,THYROIDIEN
32,THY,Thyroïdien,3211,CALC,Calcitonin,pg/mL,NM,THYROIDIEN
33,FER2,Carence fer,3301,FE,Fe,µmol/L,NM,CARANCE
33,FER2,Carence fer,3302,TIBC,TIBC,µmol/L,NM,CARANCE
33,FER2,Carence fer,3303,UIBC,UIBC,µmol/L,NM,CARANCE
33,FER2,Carence fer,3304,TRANS,Transferrin,g/L,NM,CARANCE
33,FER2,Carence fer,3305,TSAT,Transferrin Sat,%,NM,CARANCE
33,FER2,Carence fer,3306,FERR,Ferritin,ng/mL,NM,CARANCE
34,IMM,Immunitaire,3401,IGG,IgG,g/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3402,IGA,IgA,g/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3403,IGM,IgM,g/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3404,IGE,IgE,UI/mL,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3405,IGD,IgD,mg/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3406,KAP,Kappa,mg/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3407,LAMB,Lambda,mg/L,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3408,KLR,Kappa/Lambda,Ratio,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3409,PROTEIN-E,Protein electro,-,NM,IMMUNOLOGIE
34,IMM,Immunitaire,3410,IMF,Immunofixation,-,NM,IMMUNOLOGIE
35,AUTO,Auto-immun,3501,ANA,ANA,titres,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3502,ANTI-DSDNA,Anti-dsDNA,UI/mL,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3503,ANTI-ENA,Anti-ENA,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3504,ANTI-SM,Anti-Sm,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3505,ANTI-RNP,Anti-RNP,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3506,ANTI-SSA,Anti-SSA/Ro,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3507,ANTI-SSB,Anti-SSB/La,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3508,ANTI-SCL70,Anti-Scl70,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3509,ANTI-JO1,Anti-Jo1,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3510,ANTI-CCP,Anti-CCP,U/mL,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3511,RF,RF,UI/mL,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3512,ASLO,ASLO,UI/mL,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3513,ANCA,ANCA,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3514,ANTI-MPO,Anti-MPO,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3515,ANTI-PR3,Anti-PR3,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3516,ANTI-GBM,Anti-GBM,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3517,ANTI-MITO,Anti-mitochondrial,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3518,ANTI-SMTH,Anti-smooth muscle,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3519,ANTI-LKM,Anti-LKM,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3520,ANTI-PARI,Anti-parietal,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3521,ANTI-IF,Anti-intrinsic factor,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3522,ANTI-TTG,Anti-transglutaminase,U/mL,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3523,ANTI-ENDO,Anti-endomysium,-,NM,AUTO-IMMUN
35,AUTO,Auto-immun,3524,ANTI-GLI,Anti-gliadin,U/mL,NM,AUTO-IMMUN
36,MICRO,Microbiologie,3601,ECBU,ECBU,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3602,CSU,CSU,UFC/mL,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3603,HEMO,Hemoculture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3604,HEMO-ANA,Hemoculture Ana,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3605,COPO,Coproculture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3606,CSP,Culture crachats,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3607,LCR,LCR culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3608,LIQ,Liquid culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3609,PUS,Pus culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3610,PVC,Prélèvement vaginal avec culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3611,PU,Prélèvement urétral,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3612,SPER,Spermo culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3613,SWAB,Culture d'écouvillon,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3614,ANAER,Anaerobic culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3615,MYCULT,Mycobacteria culture,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3616,FUNG,Culture fongique,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3617,MYID,Mycobacteria ID,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3618,FUNGID,Fungi ID,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3619,AST,Antibiogramme,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3620,CMI,CMI,µg/mL,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3621,CMB,CMB,µg/mL,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3622,BK,BK,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3623,GRAM,Gram,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3624,ZIEHL,Ziehl,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3625,INK,India ink,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3626,LP,Lactophenol,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3627,KOH,KOH,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3628,CAT,Catalase,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3629,COAG,Coagulase,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3630,OX,Oxydase,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3631,URE,Urease,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3632,IND,Indole,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3633,CIT,Citrate,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3634,BILE,Bile esculin,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3635,OPTO,Optochin,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3636,NOV,Novobiocin,-,NM,MICROBIOLOGIE
36,MICRO,Microbiologie,3637,BLAC,Beta-lactamase,-,NM,MICROBIOLOGIE
37,PATH,Pathologie,3701,BX,Biopsie standard,-,NM,PATHOLOGIE
37,PATH,Pathologie,3702,BXEX,Bx extemporanée,-,NM,PATHOLOGIE
37,PATH,Pathologie,3703,PCE,Pièce opératoire,-,NM,PATHOLOGIE
37,PATH,Pathologie,3704,CYT,Cytologie,-,NM,PATHOLOGIE
37,PATH,Pathologie,3705,FRO,Frottis,-,NM,PATHOLOGIE
37,PATH,Pathologie,3706,LBC,LBC,-,NM,PATHOLOGIE
37,PATH,Pathologie,3707,ACP,ACP,-,NM,PATHOLOGIE
37,PATH,Pathologie,3708,LIQCYT,Liquide cytologie,-,NM,PATHOLOGIE
37,PATH,Pathologie,3709,PUN,Ponction,-,NM,PATHOLOGIE
37,PATH,Pathologie,3710,IHC,IHC,-,NM,PATHOLOGIE
37,PATH,Pathologie,3711,FISHT,FISH tissue,-,NM,PATHOLOGIE
37,PATH,Pathologie,3712,HER2,Her2 IHC,Score 0-3+ ,NM,PATHOLOGIE
37,PATH,Pathologie,3713,ER,ER IHC,%,NM,PATHOLOGIE
37,PATH,Pathologie,3714,PR,PR IHC,%,NM,PATHOLOGIE
37,PATH,Pathologie,3715,KI67,Ki67,%,NM,PATHOLOGIE
37,PATH,Pathologie,3716,P53,P53,%,NM,PATHOLOGIE
37,PATH,Pathologie,3717,PDL1,PD-L1,Score,NM,PATHOLOGIE
37,PATH,Pathologie,3718,MMR,MMR,-,NM,PATHOLOGIE
37,PATH,Pathologie,3719,MSI,MSI,-,NM,PATHOLOGIE
38,MOL,Moléculaire,3801,PCRQ,PCR quantitative,copies/mL ou UI/mL,NM,MOLECULAIRE
38,MOL,Moléculaire,3802,PCRSARS,PCR SARS-CoV-2,-,NM,MOLECULAIRE
38,MOL,Moléculaire,3803,PCRVHB,PCR VHB,UI/mL,NM,MOLECULAIRE
38,MOL,Moléculaire,3804,PCRVHC,PCR VHC,UI/mL,NM,MOLECULAIRE
